"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2019","11,175.4","11,126.2","11,175.4","11,076.9","2.12M","0.89%"
"12/19/2019","11,076.9","11,126.2","11,126.2","11,027.7","1.27M","0.00%"
"12/18/2019","11,076.9","11,175.4","11,224.6","11,076.9","2.30M","-1.32%"
"12/17/2019","11,224.6","11,323.1","11,323.1","11,224.6","1.91M","-0.87%"
"12/16/2019","11,323.1","11,421.5","11,421.5","11,323.1","1.93M","-0.86%"
"12/13/2019","11,421.5","11,323.1","11,470.8","11,323.1","2.94M","0.87%"
"12/12/2019","11,323.1","11,273.8","11,372.3","11,273.8","1.33M","0.44%"
"12/11/2019","11,273.8","11,224.6","11,273.8","11,126.2","1.60M","0.44%"
"12/10/2019","11,224.6","11,273.8","11,323.1","11,126.2","1.17M","-0.44%"
"12/09/2019","11,273.8","11,323.1","11,323.1","11,175.4","1.65M","-0.44%"
"12/06/2019","11,323.1","11,323.1","11,372.3","11,273.8","1.42M","0.00%"
"12/05/2019","11,323.1","11,421.5","11,421.5","11,273.8","2.52M","-0.43%"
"12/04/2019","11,372.3","11,175.4","11,372.3","11,076.9","2.67M","2.21%"
"12/03/2019","11,126.2","11,175.4","11,273.8","11,027.7","2.89M","0.00%"
"12/02/2019","11,126.2","11,372.3","11,421.5","11,076.9","3.33M","-2.16%"
"11/29/2019","11,372.3","11,273.8","11,372.3","11,224.6","1.63M","0.87%"
"11/28/2019","11,273.8","11,470.8","11,470.8","11,224.6","3.43M","-1.29%"
"11/27/2019","11,421.5","11,618.5","11,667.7","11,421.5","1.94M","-1.70%"
"11/26/2019","11,618.5","11,569.2","11,667.7","11,569.2","1.17M","0.86%"
"11/25/2019","11,520.0","11,470.8","11,618.5","11,421.5","3.96M","0.86%"
"11/22/2019","11,421.5","11,815.4","11,815.4","11,372.3","6.83M","-3.33%"
"11/21/2019","11,815.4","10,830.8","11,864.6","10,830.8","3.62M","0.42%"
"11/20/2019","11,766.2","11,963.1","11,963.1","11,766.2","2.76M","-1.24%"
"11/19/2019","11,913.8","11,864.6","11,913.8","11,815.4","2.84M","0.41%"
"11/18/2019","11,864.6","12,012.3","12,061.5","11,815.4","5.61M","-1.23%"
"11/15/2019","12,012.3","12,012.3","12,110.8","12,012.3","3.36M","-0.41%"
"11/14/2019","12,061.5","12,307.7","12,356.9","12,061.5","4.65M","-2.00%"
"11/13/2019","12,307.7","12,160.0","12,455.4","12,160.0","7.26M","1.21%"
"11/12/2019","12,160.0","12,160.0","12,160.0","12,061.5","3.20M","0.00%"
"11/11/2019","12,160.0","12,209.2","12,258.5","12,160.0","3.49M","-0.40%"
"11/08/2019","12,209.2","12,258.5","12,356.9","12,110.8","7.97M","0.81%"
"11/07/2019","12,110.8","12,110.8","12,160.0","12,061.5","4.27M","0.00%"
"11/06/2019","12,110.8","12,209.2","12,209.2","12,061.5","5.09M","0.00%"
